Bin	X (Hz)	Y (dBV)	Comment
0	50.00	-104.12025343240688		
1	52.85	-102.00203097115620		
2	55.87	-96.69613853723524		
3	59.05	-94.97038554826000		
4	62.42	-95.09772483473654		
5	65.98	-94.01650448376141		
6	69.75	-93.53902620626664		
7	73.73	-92.75131929629526		
8	77.93	-94.61787853542582		
9	82.38	-93.88537871993312		
10	87.08	-93.56164647472727		
11	92.04	-95.95977559676501		
12	97.29	-96.08980404767436		
13	102.84	-93.09841862318804		
14	108.71	-90.04240150558175		
15	114.91	-89.36370050516712		
16	121.47	-88.39531374967932		
17	128.40	-89.54283708000681		
18	135.72	-88.36468637302255		
19	143.46	-89.92474194016785		
20	151.65	-89.26639245181600		
21	160.30	-89.90704929769515		
22	169.44	-84.28538479431769		
23	179.11	-89.27509924503333		
24	189.32	-87.23689734655819		
25	200.12	-92.95741724243476		
26	211.54	-91.94098688131619		
27	223.61	-91.07427531636122		
28	236.36	-93.24459912173424		
29	249.85	-93.63680771607112		
30	264.10	-92.82234600193648		
31	279.16	-94.74990848698077		
32	295.09	-94.74935837755872		
33	311.92	-95.04322616336037		
34	329.71	-94.85611830465369		
35	348.52	-94.03853696440233		
36	368.40	-95.28861153519024		
37	389.42	-94.59586948224342		
38	411.63	-96.57105097332894		
39	435.11	-99.27642753787690		
40	459.93	-98.98873321754093		
41	486.17	-99.89423961782697		
42	513.90	-101.36331792820002		
43	543.22	-103.47972829367821		
44	574.21	-99.46833407127764		
45	606.96	-97.53729123848238		
46	641.59	-100.44608468755924		
47	678.18	-107.17977149237578		
48	716.87	-100.98925863826284		
49	757.76	-103.01871108671321		
50	800.99	-104.77659786303826		
51	846.68	-107.70291961901624		
52	894.98	-108.97121174289737		
53	946.03	-107.44503255255431		
54	1000.00	-109.07317484716539		
55	1057.04	-104.31859912236040		
56	1117.34	-101.79983753787276		
57	1181.08	-98.64546981300971		
58	1248.45	-100.49855978740679		
59	1319.67	-96.52457102288484		
60	1394.95	-94.46904272915832		
61	1474.52	-95.76539287505456		
62	1558.64	-91.92418142515184		
63	1647.55	-98.38016847834254		
64	1741.53	-93.00449853022414		
65	1840.88	-95.29880643014545		
66	1945.89	-94.32992161589365		
67	2056.89	-93.55604224113186		
68	2174.22	-93.89107252632955		
69	2298.25	-96.25833946677221		
70	2429.35	-94.74866996297926		
71	2567.93	-93.41305622275800		
72	2714.42	-91.77077344891897		
73	2869.26	-92.95688966910291		
74	3032.93	-92.22530585542718		
75	3205.95	-91.57503977521922		
76	3388.83	-91.05904768081356		
77	3582.14	-90.44782284022858		
78	3786.48	-87.08804470116274		
79	4002.48	-87.11579279420904		
80	4230.79	-86.85930581233265		
81	4472.14	-85.48704655296841		
82	4727.25	-84.15336988135091		
83	4996.91	-83.86496832840342		
84	5281.95	-84.27173859045175		
85	5583.26	-82.70807358808126		
86	5901.75	-84.41408305236681		
87	6238.41	-85.07917052197536		
88	6594.27	-86.00760987481593		
89	6970.44	-90.62692269344502		
90	7368.06	-93.60866594293260		
91	7788.37	-83.88504103288993		
92	8232.65	-81.96571866363129		
93	8702.27	-87.52095123784608		
94	9198.69	-85.05640755690870		
95	9723.42	-86.96099316098115		
96	10278.09	-87.64298707677926		
97	10864.39	-88.64118950240682		
98	11484.14	-91.30298535955409		
99	12139.24	-93.28864827884078		
100	12831.72	-98.96912307340138		
101	13563.69	-104.90778873430514		
102	14337.42	-112.84176066363894		
103	15155.29	-107.75257992469059		
104	16019.81	-106.68460030531230		
105	16933.65	-101.85670149220238		
106	17899.62	-100.16523968826375		
107	18920.68	-107.09991985460610		
108	20000.00	-119.61899169540401		
