Bin	X (Hz)	Y (dBV)	Comment
0	50.00	-96.81870812184734		
1	52.85	-96.35586099943258		
2	55.87	-94.32602730187900		
3	59.05	-90.60886099363455		
4	62.42	-88.46814613126541		
5	65.98	-88.09547515650699		
6	69.75	-87.75495634133064		
7	73.73	-88.20062624916017		
8	77.93	-87.74568878513226		
9	82.38	-87.47095864280119		
10	87.08	-86.92782141443989		
11	92.04	-87.79689764339747		
12	97.29	-85.47093971462100		
13	102.84	-84.23992029803010		
14	108.71	-83.64038178735476		
15	114.91	-81.26612546712454		
16	121.47	-79.67231858315978		
17	128.40	-79.71474661853345		
18	135.72	-80.38349074193019		
19	143.46	-80.96027076517170		
20	151.65	-80.45764318992104		
21	160.30	-78.56208342181773		
22	169.44	-78.26749608617726		
23	179.11	-78.29422863609933		
24	189.32	-79.04695705490296		
25	200.12	-79.11318419652650		
26	211.54	-79.14879329966882		
27	223.61	-79.16943475610418		
28	236.36	-78.89756476136641		
29	249.85	-78.74826028493963		
30	264.10	-79.01546231070444		
31	279.16	-79.03476690687606		
32	295.09	-78.84578654214693		
33	311.92	-78.80891620610076		
34	329.71	-79.09044617761587		
35	348.52	-79.26379510861128		
36	368.40	-78.84940324026377		
37	389.42	-78.15825336425471		
38	411.63	-77.85550425935632		
39	435.11	-77.78886744256076		
40	459.93	-78.04412398643611		
41	486.17	-77.76466265557771		
42	513.90	-77.64028030005946		
43	543.22	-78.40245443539857		
44	574.21	-77.55494126647544		
45	606.96	-76.91630685379496		
46	641.59	-76.49954022832847		
47	678.18	-77.58201229282629		
48	716.87	-77.88750542981970		
49	757.76	-76.86387721557213		
50	800.99	-77.39713213737832		
51	846.68	-77.88027054502400		
52	894.98	-76.91032069469954		
53	946.03	-76.56806552862767		
54	1000.00	-75.36434905599771		
55	1057.04	-75.62760986383992		
56	1117.34	-76.30626494049393		
57	1181.08	-75.66667620838165		
58	1248.45	-76.27543423566914		
59	1319.67	-75.58449491647845		
60	1394.95	-75.45201393310057		
61	1474.52	-75.95772164838188		
62	1558.64	-75.80315258303131		
63	1647.55	-76.49469632559945		
64	1741.53	-76.15827478036701		
65	1840.88	-76.15673198089014		
66	1945.89	-76.17687408097709		
67	2056.89	-76.60357338368198		
68	2174.22	-76.84566582247051		
69	2298.25	-77.51808426525743		
70	2429.35	-77.20321960185451		
71	2567.93	-76.82154250151478		
72	2714.42	-76.33288134741312		
73	2869.26	-75.99364991676336		
74	3032.93	-75.67278632157564		
75	3205.95	-74.87754380367984		
76	3388.83	-74.69021075465696		
77	3582.14	-73.52698979347967		
78	3786.48	-72.68936238326256		
79	4002.48	-72.71216595835381		
80	4230.79	-72.60375479151404		
81	4472.14	-72.49948248544395		
82	4727.25	-71.36532320950028		
83	4996.91	-72.26161936255483		
84	5281.95	-72.62268088540429		
85	5583.26	-71.78947514617816		
86	5901.75	-72.29255082545150		
87	6238.41	-72.70876139750078		
88	6594.27	-73.43538138333597		
89	6970.44	-75.84797412834594		
90	7368.06	-77.05879517254716		
91	7788.37	-73.79767183187124		
92	8232.65	-72.37632903471346		
93	8702.27	-76.59783726612280		
94	9198.69	-74.66346821171615		
95	9723.42	-75.67713196127565		
96	10278.09	-77.98175312462898		
97	10864.39	-80.79695112505549		
98	11484.14	-82.98232914438870		
99	12139.24	-83.81372365112405		
100	12831.72	-82.87185320581851		
101	13563.69	-85.51912095255463		
102	14337.42	-88.67360950769563		
103	15155.29	-89.66005683720104		
104	16019.81	-90.39188506501655		
105	16933.65	-90.78378627784852		
106	17899.62	-91.76816957716591		
107	18920.68	-99.12862503061831		
108	20000.00	-101.87060119182128		
