Bin	X (Hz)	Y (dBV)	Comment
0	50.00	-75.48916658020484		
1	52.85	-83.47812903101132		
2	55.87	-87.43311380745719		
3	59.05	-82.57231295986288		
4	62.42	-96.92032651255944		
5	65.98	-106.66728107215982		
6	69.75	-84.89320510286521		
7	73.73	-85.29907980156132		
8	77.93	-82.49758718333889		
9	82.38	-88.02915415740416		
10	87.08	-83.44600223355153		
11	92.04	-88.10735688675709		
12	97.29	-89.32332626019196		
13	102.84	-89.91181189716590		
14	108.71	-85.58345684558964		
15	114.91	-83.28448912872257		
16	121.47	-85.45115397958288		
17	128.40	-96.22419415458717		
18	135.72	-72.94351107280585		
19	143.46	-89.19018219058584		
20	151.65	-90.00075266176185		
21	160.30	-91.45671086483021		
22	169.44	-89.16305749033312		
23	179.11	-87.61610746522429		
24	189.32	-92.29176817083592		
25	200.12	-95.70551078272517		
26	211.54	-103.17966283065273		
27	223.61	-93.68038550890232		
28	236.36	-86.78529738820301		
29	249.85	-89.69678003904841		
30	264.10	-93.18143987400724		
31	279.16	-87.72454282956977		
32	295.09	-93.12880963953162		
33	311.92	-94.24107924147160		
34	329.71	-94.10591729380545		
35	348.52	-90.92203250363444		
36	368.40	-71.27867679273712		
37	389.42	-84.97874666339939		
38	411.63	-89.50747770925811		
39	435.11	-90.21199173514712		
40	459.93	-90.57156872953338		
41	486.17	-97.48301731046590		
42	513.90	-90.57136790157250		
43	543.22	-93.34332490291951		
44	574.21	-91.67736393125793		
45	606.96	-86.91723347122033		
46	641.59	-87.65312484905488		
47	678.18	-87.83617158950868		
48	716.87	-92.17778072251221		
49	757.76	-84.45008912642564		
50	800.99	-86.33059104897639		
51	846.68	-91.99388639670893		
52	894.98	-84.32655842086177		
53	946.03	-92.42818657370103		
54	1000.00	-82.65582217276766		
55	1057.04	-82.72168620589436		
56	1117.34	-91.28726893125804		
57	1181.08	-99.07446549062341		
58	1248.45	-88.05239820987467		
59	1319.67	-107.26637375046261		
60	1394.95	-89.87407888293127		
61	1474.52	-91.92683117634815		
62	1558.64	-92.25176234888552		
63	1647.55	-92.52018334018923		
64	1741.53	-86.33403139062779		
65	1840.88	-92.89537548359229		
66	1945.89	-89.80555381556643		
67	2056.89	-90.43383328994214		
68	2174.22	-92.78550306040361		
69	2298.25	-96.04078664959403		
70	2429.35	-88.04413356298291		
71	2567.93	-86.73485604756053		
72	2714.42	-91.46224316636591		
73	2869.26	-94.88910678501841		
74	3032.93	-89.25845605095522		
75	3205.95	-95.08064671236923		
76	3388.83	-90.81746348971272		
77	3582.14	-86.86275967673366		
78	3786.48	-86.69335207897858		
79	4002.48	-103.83367992910854		
80	4230.79	-89.77138961378782		
81	4472.14	-85.56212290522299		
82	4727.25	-93.18207725990692		
83	4996.91	-95.17146372239225		
84	5281.95	-89.76467874432368		
85	5583.26	-86.32276912447242		
86	5901.75	-81.76560198814745		
87	6238.41	-84.47083603076524		
88	6594.27	-80.73915364225407		
89	6970.44	-82.88729128934651		
90	7368.06	-77.71564841064226		
91	7788.37	-94.27481881910754		
92	8232.65	-84.69180507715957		
93	8702.27	-84.33744683674966		
94	9198.69	-82.51943812004821		
95	9723.42	-90.17643476786887		
96	10278.09	-95.81648729958648		
97	10864.39	-107.23477446458197		
98	11484.14	-85.94452355721661		
99	12139.24	-89.43804009281639		
100	12831.72	-104.45126072588042		
101	13563.69	-88.71281545467102		
102	14337.42	-92.00235831913442		
103	15155.29	-95.21318685254202		
104	16019.81	-96.52899981516734		
105	16933.65	-101.14612832125668		
106	17899.62	-87.31919058674806		
107	18920.68	-93.24124810778719		
108	20000.00	-106.66419799149658		
