Bin	X (Hz)	Y (dBV)	Comment
0	50.00	-75.32174824145019		
1	52.85	-74.38726125658577		
2	55.87	-69.60455121334088		
3	59.05	-66.76755078447239		
4	62.42	-65.62924119172467		
5	65.98	-66.57275348251490		
6	69.75	-66.69556504368998		
7	73.73	-62.10848241842377		
8	77.93	-70.78539833893184		
9	82.38	-66.85671608842488		
10	87.08	-68.70208815491546		
11	92.04	-67.40650140367183		
12	97.29	-67.67516681564959		
13	102.84	-67.88599054051133		
14	108.71	-64.98179446758705		
15	114.91	-63.71293773052533		
16	121.47	-62.81644238128625		
17	128.40	-63.30181586831300		
18	135.72	-64.01310502905344		
19	143.46	-64.36260138256118		
20	151.65	-64.19541561320607		
21	160.30	-62.71845064963475		
22	169.44	-62.04919789207283		
23	179.11	-62.10306874884570		
24	189.32	-62.76554410199754		
25	200.12	-63.02271111846974		
26	211.54	-62.73819848936232		
27	223.61	-62.41796603602967		
28	236.36	-62.47628624478113		
29	249.85	-62.23343794906790		
30	264.10	-62.13799584772922		
31	279.16	-62.09011391150032		
32	295.09	-61.74330177852595		
33	311.92	-61.64252265910048		
34	329.71	-61.67965753022714		
35	348.52	-61.81310543522942		
36	368.40	-61.92790174661223		
37	389.42	-61.20183526596394		
38	411.63	-61.20428818111078		
39	435.11	-60.59641485901999		
40	459.93	-60.59323907319138		
41	486.17	-60.32327439237089		
42	513.90	-60.33784235347361		
43	543.22	-61.04439950280607		
44	574.21	-60.47087265444116		
45	606.96	-60.11206956700581		
46	641.59	-59.28972063516102		
47	678.18	-60.13466435848820		
48	716.87	-60.71490742875304		
49	757.76	-60.08457740529369		
50	800.99	-60.32300637038036		
51	846.68	-60.84513057419085		
52	894.98	-60.24260786628333		
53	946.03	-60.12832987059531		
54	1000.00	-58.61827627488374		
55	1057.04	-58.87123879627950		
56	1117.34	-59.55807441428132		
57	1181.08	-58.99288337954089		
58	1248.45	-59.46624351297833		
59	1319.67	-59.40937790056918		
60	1394.95	-58.90549183188934		
61	1474.52	-59.34747220558881		
62	1558.64	-59.04173587423907		
63	1647.55	-60.19653394038761		
64	1741.53	-59.46442094645521		
65	1840.88	-59.10104671534483		
66	1945.89	-59.15181256227391		
67	2056.89	-59.91039412670927		
68	2174.22	-60.28205412793714		
69	2298.25	-60.98691298364445		
70	2429.35	-60.65389589913026		
71	2567.93	-60.50497698542661		
72	2714.42	-60.02215801660771		
73	2869.26	-60.35658969285964		
74	3032.93	-59.99354687293818		
75	3205.95	-60.05350136709331		
76	3388.83	-59.90849656628802		
77	3582.14	-59.04776385032560		
78	3786.48	-58.52271343515107		
79	4002.48	-58.93979306609204		
80	4230.79	-58.79695024670188		
81	4472.14	-59.12131253174086		
82	4727.25	-58.71397847279415		
83	4996.91	-59.39359328300806		
84	5281.95	-59.89008320527093		
85	5583.26	-59.30229226686829		
86	5901.75	-60.39242743450961		
87	6238.41	-59.96123175489609		
88	6594.27	-59.79328732651011		
89	6970.44	-60.33952122218155		
90	7368.06	-59.79211275378232		
91	7788.37	-61.17839171605013		
92	8232.65	-60.60987567427090		
93	8702.27	-59.94562919730571		
94	9198.69	-59.97249429165522		
95	9723.42	-60.59860921672321		
96	10278.09	-60.45763354914747		
97	10864.39	-61.21073149864820		
98	11484.14	-61.82759322850639		
99	12139.24	-61.73810385562640		
100	12831.72	-62.07124662922675		
101	13563.69	-62.99295101483233		
102	14337.42	-64.17977326267867		
103	15155.29	-64.27579296509184		
104	16019.81	-63.84962737139041		
105	16933.65	-64.28378355954078		
106	17899.62	-65.30906130324041		
107	18920.68	-66.65491418199844		
108	20000.00	-68.74699206821008		
